nr.	cuiio	idno
547	4505783	1003600017235
548	4506104	1003600047434
549	4506423	1004600040856
550	4506742	1002600037296
551	4506920	1003600051042
552	4506943	1002600004317
553	4507078	1003600078283
554	4507121	1003600014267
555	4507486	1003600063036
556	4507919	1003600039839
557	4508155	1002600017803
558	4508356	1002611000465
559	4508408	1003607001471
560	4508758	1003607005826
561	4509083	1003609006827
562	4509226	1003609003996
563	4509315	1002605000244
564	4509433	1003609003826
565	4509775	1003611007450
566	4509835	1004600008722
567	4510324	1003600035657
568	4511973	1004607003575
569	4512470	1002605001757
570	4512576	1003609001213
571	4512582	1004603003832
572	4512671	1003605150272
573	4514463	1003604007357
574	4515178	1003602006600
575	4515221	1003602023313
576	4515936	1004602007811
577	4516389	1003606004165
578	4517094	1003607006513
579	4517987	1004600064306
580	4518099	1003600151447
581	4518171	1003600032748
582	4518260	1002600041675
583	4518538	1003600083393
584	4518596	1004600031564
585	4518739	1003600108669
586	4518886	1004600004296
587	4518900	1003600007544
588	4519578	1003600023319
589	4572696	1002608000795
590	4572704	1003604153298
591	4572710	1002609002202
592	4572727	1003600086073
593	4572733	1003605002212
594	4572762	1003606007074
595	4572791	1002605000174
596	4573224	1003603007486
597	4573276	1003602021342
598	4573508	1003600165088
599	4573552	1003600127505
600	4574079	1003608000747
601	4574270	1003600128568
602	4574353	1003600062268
603	4574407	1003600119988
604	4574459	1003602010126
605	4574465	1003609001899
606	4574488	1012609002487
607	4606745	1005600014663
608	4607265	1005600007685
609	4712708	1002600001257
610	4813734	1007602006147
611	4818482	1004600038758
612	4832269	1003603006663
613	4927923	1017620001819
614	4928118	1003600117504
615	4928383	1002602006326
616	4928986	1003600150509
617	4929448	1003600012045
618	4929649	1003600152640
619	5454303	1003601000597
620	5689466	1004600060065
621	5689526	1002600019210
622	5689704	1008603004505
623	5689710	1010609000962
624	5689785	1002606001352
625	5689816	1003600032782
626	5690038	1003601004104
627	5690162	1003600064170
628	5690400	1003603003307
629	5691115	1003600047711
630	5691150	1002600052477
631	5691233	1002602001837
632	5691776	1002600053751
633	5691983	1003600127354
634	5692126	1003600152592
635	5692149	1003608000286
636	5692288	1002600033793
637	5692480	1003602030520
638	5692988	1003600043735
639	5693217	1003601002786
640	5693717	1002609002062
641	5693775	1003601003808
642	5694036	1007607002708
643	5694042	1007603002825
644	5694256	1003611003739
645	5694295	1003600097956
646	5694450	1003609007411
647	5694467	1003603150315
648	5694779	1003600041432
649	5694869	1002600038835
650	5695403	1003604005869
651	5695414	1003602008028
652	5695432	1003604013877
653	5695449	1003603151541
654	5695455	1003608000976
655	5695461	1003611010865
656	5695490	1003606010892
657	5695515	1003607003279
658	5695544	1003600106403
659	5696160	1017620003617
660	5696271	1003600026295
661	5696472	1007600023878
662	5696615	1003600092021
663	5696934	1002600037377
664	5697000	1002600017180
665	5697263	1003602150662
666	5699826	1003606006217
667	5700239	1002602001136
668	5700334	1003603008483
669	5700512	1003600106355
670	5700541	1002602001435
671	5745532	1002602005363
672	5750450	1003602000516
673	5761590	1002600025822
674	5793436	1003600032531
675	5807090	1002600030378
676	5833093	1002600041077
677	5905881	1003600077839
678	5910037	1003608001331
679	5910126	1003602021238
680	5910391	1002600026564
681	5910557	1003600151724
682	5910563	1003600151023
683	5910830	1003600006835
684	5911284	1003602151865
685	5911290	1003601005916
686	5911338	1002600047677
687	5911396	1003600114422
688	5911433	1002600041804
689	5911686	1002600006562
690	5911692	1002600005255
691	5912243	1004601003757
692	5912668	1003600031981
693	5913107	1007602003320
694	5913113	1007600039491
695	5913128	1008600029729
696	5913202	1003600038500
697	5913254	1003600098931
698	5913886	1003600161736
699	5914087	1003600116080
700	5914271	1003600087999
701	5914450	1003600079257
702	5914466	1003600037396
703	5914555	1003600100135
704	5914584	1003600153739
705	5914756	1003600100803
706	5915454	1004600020050
707	5915554	1007600020039
708	5915566	1014606002619
709	5916181	1003600055198
710	5916347	1007609002090
711	5916353	1010603002182
712	5916502	1003604001469
713	5916732	1002604000225
714	5916927	1003604013084
715	5917737	1003600072144
716	5917751	1003611150563
717	5917950	1003602021227
718	5918412	1002600040715
719	5918441	1003600040608
720	5918694	1007600029571
721	5919558	1003600049195
722	5920353	1003603008520
723	5921006	1004600066034
724	5921228	1003611010980
725	5921756	1003600062785
726	5921957	1009605002177
727	5921963	1009606006530
728	5921970	1007609001831
729	5922267	1004604002773
730	5922307	1003600107352
731	5922460	1002600011812
732	6808111	1003607002124
733	6808418	1002600012831
734	6808861	1008601000433
735	6809352	1003600040033
736	6809487	1002600026645
737	6809553	1002600048294
738	6809607	1003600096177
739	6810195	1003600053611
740	6811060	1002600050071
741	6811567	1002600056187
742	6811662	1002600025419
743	6811768	1002600049073
744	6812101	1003600007407
745	6813690	1002600023552
746	6814229	1002600006643
747	6814264	1002600045020
748	6814560	1003600097543
749	6814689	1003600079475
750	6814761	1003600091183
751	6814784	1003600130817
752	6814815	1002600038949
753	6814956	1002600027608
754	6815097	1004600013500
755	6815140	1003600088491
756	6815464	1002600050598
757	6815536	1003600019099
758	6815683	1003600122670
759	6816369	1002600013883
760	6816441	1003600023397
761	6816777	1003600102690
762	6816783	1003600019583
763	6816978	1005600056867
764	6817162	1003600000774
765	6817699	1003600001195
766	6817860	1003600016928
767	6817943	1002600007503
768	7000109	1007600073873
769	7000173	1007605006137
770	7000279	1003610003215
771	7000285	1007600077114
772	7000492	1007608003207
773	7001118	1007605005912
774	7003510	1007603006650
775	7003591	1010603000214
776	7005466	1007609005770
777	7005472	1007606007577
778	7006603	1007609005736
779	7006810	1007609005817
780	7007502	1007605006207
781	7008097	1007600074799
782	7008192	1007602012771
783	7008223	1008600001156
784	7008275	1007607008593
785	7008306	1007606007625
786	7008329	1009605004078
787	7024742	1017620000845
788	9773502	1002600048179
789	9773548	1003600042897
790	9773620	1002600008094
791	9773761	1002600012266
792	9773896	1002600026519
793	9774039	1005600043924
794	9774269	1004600027576
795	9774281	1002600052466
796	9774513	1002600019689
797	9774750	1004600022526
798	9775582	1003600080462
799	9775642	1003600115588
800	9775671	1002600046290
801	9776021	1003600043791
802	9776400	1003600099662
803	9776664	1002600026162
804	9776736	1009600018430
805	9777339	1003611009890
806	9777888	1003602014571
807	9777997	18276812
808	9778511	1003606007801
809	9778706	1003606007649
810	9778830	1003606015428
811	9779775	1003602003931
812	9780123	1003606014823
813	9780181	1007602006398
814	9780614	1003604003511
815	15784941	1002600052215
816	15785952	1003600034993
817	15785975	1003600164140
818	15786226	1003600063324
819	15786265	1002600015566
820	15786443	1003600048224
821	15786466	1002600043635
822	15786684	1003600061641
823	15787827	1003600128591
824	15788293	1002600029358
825	15788583	1002600036532
826	15788598	1003600084426
827	15788620	1003600027672
828	15788873	1007600002824
829	15789016	1007600005951
830	15789743	1002600045189
831	15789756	1002600041941
832	15789861	1002600030345
833	15790172	1003600095088
834	15790255	1002600011694
835	15791036	1003600019675
836	15791639	1002600035731
837	15792946	1003600023180
838	15793348	1004600038080
839	15793680	1004600027646
840	15793822	1003600058177
841	15794974	1003600035705
842	15795071	1003600083902
843	15795896	1002600029473
844	15795956	1003600050713
845	15796476	1002600043473
846	15796482	1002600042432
847	15797530	1003600087771
848	15797659	1003600004819
849	15797866	1003600023951
850	15797872	1003600064734
851	15800640	1002606000595
852	15801763	1002602000612
853	15801941	1003606003928
854	15802082	1003605003817
855	15802647	1002604000074
856	15802656	1003601005868
857	15803779	1003607012789
858	15804496	1003601007035
859	15804550	1003604013420
860	15805413	1003609004292
861	15805933	1004602001820
862	15807381	1007604003313
863	15808481	1003600129174
864	15808570	1002601004288
865	15809078	1002601002516
866	15809701	1003606010261
867	15810532	1002600033302
868	15810615	1002600035904
869	15811388	1002600025556
870	15814091	1003600057103
871	15815587	1004611000377
872	15816859	1003609004993
873	15819131	1003611011437
874	15819711	1003602034436
875	15821062	1002600027664
876	15822268	1003609002612
877	15822618	1002602001723
878	15823581	1003602007238
879	15824250	1002609000688
880	15825456	1003600103837
881	15828035	1002600002885
882	15829052	1003600038935
883	15829135	1003600090957
884	15829684	1002600015234
885	15830061	1004600006474
886	15830865	1002600027309
887	15830954	1002600008902
888	15831304	1003600010708
889	15832812	1003600162940
890	15833585	1004600034613
891	15834886	1003600057022
892	15835012	1003600119818
893	15837577	1003600154356
894	15837695	1003600029517
895	15837956	1002600044090
896	15839665	1003600095103
897	15840674	1003600023478
898	15841509	1004600029396
899	15841685	1002600013045
900	15841745	1003600001715
901	15842360	1002600003549
902	15842495	1002600024940
903	15843365	1003602001546
904	15844650	1003607015850
905	15846576	1003602008198
906	15846665	1003604006442
907	15847185	1004605000466
908	15848405	1004607002073
909	15849698	1003602023173
910	15850218	1003601006924
911	15850307	1003602003322
912	15851057	1003606004198
913	15852329	1003610001336
914	15853814	1002600005679
915	15854446	1003600088527
916	15855925	1003600162939
917	15855954	1002600006838
918	15856445	1002600043978
919	15856563	1003600015600
920	15857143	1003600020226
921	15857158	1002600028915
922	15857166	1003600012746
923	15857485	1004600001206
924	15857700	1002602004012
925	15858295	1003610001082
926	15858355	1003608002718
927	15858711	1003604013198
928	15858912	1003604000211
929	15860197	1003602004558
930	15860286	1004602000096
931	15860748	1003605006944
932	15860820	1003606015705
933	15861239	1004600067813
934	15861966	1003608003438
935	15862316	1003600045083
936	15862405	1002600055250
937	15862799	1004600066481
938	15862842	1003600101442
939	15862894	1004600029950
940	15862960	1002600029277
941	15863089	1003600008747
942	15864120	1002600046038
943	15864195	1002600001408
944	15864427	1003600110974
945	15865467	1003600074849
946	15865510	1003600066037
947	15866165	1003600113104
948	15866337	1003600077219
949	15866351	1003600113285
950	15866975	1002600019438
951	15867791	1003600011613
952	15868394	1003600091448
953	15868595	1004600003543
954	15870830	1003601005891
955	20140803	1003600075204
956	20141576	1003600036207
957	20142972	1003600113528
958	20143316	1003600056195
959	20143374	1003600000316
960	20144126	1003600028587
961	20144149	1004600004104
962	20144178	1003600087162
963	20144379	1002600024685
964	20144416	1003600029218
965	20144623	1005600033978
966	20145580	1003600038485
967	20145858	1002600032774
968	20146208	1003600054342
969	20147295	1003600019767
970	20148029	1003600039600
971	20148354	1002600005912
972	20149187	1003600047629
973	20149388	1002600001589
974	20150003	1004600046490
975	20150629	1002600039245
976	20151155	1002600029532
977	20152427	1002600039290
978	20152442	1002600046784
979	20152516	1003600133162
980	20159174	1003603001646
981	20160361	1005604001809
982	20162360	1003611002134
983	20163336	1002602006337
984	20163715	1003600050469
985	20164502	1003609000744
986	20166719	1002606001318
987	20168210	1003600062729
988	20168629	1002600011546
989	20168724	1002600052123
990	20168782	1002600031951
991	20171420	1002600006942
992	20171761	1003600019343
993	20172720	1002600004188
994	20173027	1003605011559
995	20175302	1003607001275
996	20175440	1003611151445
997	20176072	1008602002261
998	20176540	1002602006049
999	20178533	1002600037470
1000	20180211	1003600020101
1001	20180748	1002600041697
1002	20180808	1002600031353
1003	20181601	1003600029104
1004	20182960	1003600100755
1005	20183764	1003600098724
1006	20185450	1003600045175
1007	20186780	1003600011059
1008	20187064	1002600035188
1009	20187101	1004600009626
1010	20189577	1003604012445
1011	20192473	1003600003018
1012	20193432	1003600017257
1013	20194615	1003600031006
1014	20195454	1002600041376
1015	20195804	1002600042030
1016	20195916	1003600014762
1017	20197370	1002600056198
1018	20197571	1004600013854
1019	20197691	1007600007829
1020	20198228	1002600035890
1021	20199185	1003600133438
1022	20199268	1003600119715
1023	20199400	1003600104867
1024	20201083	1003600086741
1025	20202013	1002600002863
1026	20204153	1003600069614
1027	20207306	1003611002318
1028	20207401	1003607012686
1029	20207513	1002602000519
1030	20212038	1003604001159
1031	20213353	1003602004112
1032	20214068	1003607000290
1033	20214306	1003600106746
1034	20214542	1007600011965
1035	20215033	1003607002191
1036	20215622	1007602006826
1037	20259272	1003605000447
1038	20259958	1003600031291
1039	20260884	1003600027731
1040	20262848	1003600030803
1041	20264327	1003600030261
1042	20265410	1003600012894
1043	20267515	1003600169651
1044	20268130	1003600068891
1045	20269046	1003609011454
1046	20269655	1003600128775
1047	20270664	1003600080060
1048	20271764	1003607012169
1049	20272255	1004610000037
1050	20273059	1003606150811
1051	20279116	1003600152477
1052	20280527	1003600067872
1053	20281099	1004600060353
1054	20281308	1003600031419
1055	20281892	1004600008630
1056	20281975	1003600009803
1057	20282377	1002600023242
1058	20282383	1002600048836
1059	20284519	1003611000716
1060	20284620	1003603000579
1061	20285140	1003600104801
1062	20290649	1003600050595
1063	20292223	1002600026575
1064	20292364	1006601000255
1065	20292513	1002600012565
1066	20293493	1003600013628
1067	20294386	1002600032763
1068	20296959	1003600090809
1069	20297019	1007600063768
1070	20297255	1003600023559
1071	20297858	1004604000377
1072	20299931	1003603005596
1073	20300492	1003607010109
1074	20300557	1003606006192
1075	20300632	1002602001055
1076	20301063	1002602003439
1077	20308869	1003603006124
1078	20311877	1004605001027
1079	20313379	1003604005238
1080	20314999	1003609000375
1081	20321449	1003606013619
1082	20372330	1003607000821
1083	20372413	1003607000120
1084	20380200	1003600028406
1085	20380619	1002600039315
1086	20381783	1002600000733
1087	20382305	1003600009478
1088	20383693	1002600007949
1089	20384072	1003604000428
1090	20384333	1003602021250
1091	20388294	1003607013007
1092	20391304	1002604001200
1093	20393562	1004606002010
1094	20397749	1003605007723
1095	20400954	1003600028325
1096	20405029	1003611006958
1097	20409010	1003609004166
1098	20409240	1008606002443
1099	20413017	1004600045998
1100	20413508	1003600095424
1101	20413840	1005600057152
1102	20413945	1002600047954
1103	20416205	1003600040295
1104	20417096	1003600031752
1105	20417529	1003600075189
1106	20421666	1003607150162
1107	20422387	1002602005411
1108	20422944	1003602004721
1109	20424096	1003600033446
1110	20426190	1003600058155
1111	20426310	1003600078168
1112	20426617	1002600014846
1113	20429047	1004602010961
1114	20434781	1004607002110
1115	20437182	1003600112864
1116	20437803	1003600092984
1117	20438514	1003600017475
1118	20439086	1002600055478
1119	20440072	1003600050403
1120	20440296	1003600005469
1121	20440511	1003600020695
1122	20442616	1003611006327
1123	20444259	1004606002467
1124	20446287	1003609003549
1125	20447097	1003600154149
1126	20447588	1003602000723
1127	20447714	1004600013256
1128	20447878	1004600032675
1129	20451437	1003600122382
1130	20453933	1002600032981
1131	20454134	1002600000881
1132	20454236	1002600029716
1133	20454660	1002600054323
1134	20455091	1003600017545
1135	20455607	433744
1136	20462814	1003602000642
1137	20464865	1002602005237
1138	20465818	1004600003691
1139	20465853	1003600021430
1140	20466551	1003600017246
1141	20467409	1003600030744
1142	20469977	1002600036819
1143	20471517	1002603000631
1144	20473284	1003602020633
1145	20473545	1003606011006
1146	20478123	1003600003708
1147	20478135	1003603007084
1148	20481711	1002600030921
1149	20485465	1004600003462
1150	20487339	1003600019321
1151	20488268	1003600047353
1152	20491738	1003601000829
1153	20493789	1002602000254
1154	20494174	1003611001539
1155	28343824	1005600063616
1156	28344066	1002600041424
1157	28346361	1003600009984
1158	28346792	1002600048261
1159	28347260	1002600038891
